replication,seed,mu_hat,sigma_hat,nll
194.0,1194.0,0.1069544791201089,0.20338038189517935,-1480.980448611602
195.0,1195.0,-0.11863070900919534,0.22285531299474634,-1434.8923035187227
196.0,1196.0,-0.013741543519405073,0.2183950532204723,-1445.0817454599223
197.0,1197.0,-0.09545435370380323,0.2190669532015595,-1443.5335624165161
198.0,1198.0,0.3431416422042817,0.23438410707965007,-1409.4713033428154
199.0,1199.0,-0.09806640953505645,0.2289595931159546,-1421.2728211089586
200.0,1200.0,0.06846272121323557,0.2139538217852111,-1455.4366298442485
201.0,1201.0,0.1616864753792411,0.21856399113676817,-1444.6920306106472
202.0,1202.0,-0.031466034119402325,0.2165473836548386,-1449.3638476030214
203.0,1203.0,-0.18732547657815585,0.2174787271545204,-1447.2008508377758
204.0,1204.0,0.009380185710232643,0.22860394191831165,-1422.0563031420425
205.0,1205.0,0.13726389789886181,0.2219300087913473,-1436.9892983259706
206.0,1206.0,-0.03815339297010772,0.21502080282015024,-1452.9294452776567
207.0,1207.0,0.13983112872147926,0.2081679845233055,-1469.2536972828302
208.0,1208.0,0.06349755588517005,0.22391546561647294,-1432.50039272328
209.0,1209.0,0.05799198668993376,0.22451572394332495,-1431.1511195142568
210.0,1210.0,0.3043334556089087,0.22864550233973194,-1421.9646939536929
211.0,1211.0,-0.0007739176907820695,0.22214287269291264,-1436.506122205615
212.0,1212.0,-0.037125714490914355,0.21357140885452636,-1456.3382675730966
213.0,1213.0,0.2263942452451511,0.21976711542593796,-1441.9252812038799
214.0,1214.0,-0.10010867369800072,0.22131753378992206,-1438.3821333067397
215.0,1215.0,-0.06242235429726347,0.2147568344749281,-1453.5485462441786
216.0,1216.0,0.16320287782347812,0.21496093630911733,-1453.0697894783973
217.0,1217.0,0.09311920198018418,0.21737458950127594,-1447.4422421633642
218.0,1218.0,0.07275018979225324,0.21886380065501607,-1444.0011655245453
219.0,1219.0,0.011090858429606772,0.22850864293951986,-1422.2664513094655
220.0,1220.0,0.15574458869769592,0.217253059502482,-1447.7240999322016
221.0,1221.0,0.030548878882823118,0.22023726784331432,-1440.8482118852708
222.0,1222.0,-0.22018802204839905,0.20868606535327805,-1468.0009290719925
223.0,1223.0,0.1273365453852749,0.22822390637062304,-1422.8948697312492
224.0,1224.0,0.2580860421263883,0.21457249374009219,-1453.9813471030825
225.0,1225.0,0.05235529613425111,0.21809576877832407,-1445.7729013626251
226.0,1226.0,0.37488867138113796,0.21774823944025987,-1446.57664926402
227.0,1227.0,-0.06490283474851459,0.2215175028276497,-1437.9269654014358
228.0,1228.0,0.059086105247107897,0.2101766783504124,-1464.413721503547
229.0,1229.0,-0.04099689696534807,0.21886832253565186,-1443.9907392657474
230.0,1230.0,0.16263590378574708,0.21932287260338304,-1442.9451106924425
231.0,1231.0,0.1180134569441712,0.22345487195426517,-1433.5381874462605
232.0,1232.0,0.013593792898527387,0.22648704114686838,-1426.7451455825171
233.0,1233.0,0.3116288879434384,0.2228345235812011,-1434.9393323354602
234.0,1234.0,0.29224594017352035,0.22394118254062603,-1432.4425191451442
235.0,1235.0,-0.17973189764574135,0.2094107846676221,-1466.2536734866856
236.0,1236.0,0.02530691880426015,0.20574944610538323,-1475.1435644469195
237.0,1237.0,0.11764690402175582,0.2161086344123685,-1450.386040728269
238.0,1238.0,0.12301151638636885,0.22871124361785317,-1421.8198022266367
239.0,1239.0,-0.03568028278629912,0.2198847039942888,-1441.6556933182546
240.0,1240.0,0.047075950332069474,0.2183872450224752,-1445.099775287869
241.0,1241.0,0.003808531431490113,0.22623145839633402,-1427.3142244180365
242.0,1242.0,0.250189453215229,0.23271373595001352,-1413.0759764446548
243.0,1243.0,0.2274291087130467,0.2186129640995569,-1444.5791237065127
244.0,1244.0,-0.09155560762047692,0.21982729869387668,-1441.7872897786433
245.0,1245.0,0.20252815727799198,0.22302901337309755,-1434.4996200292103
246.0,1246.0,-0.06621310311176472,0.2101484378378126,-1464.481454331384
247.0,1247.0,0.04259943687933678,0.21741943472114045,-1447.3382677126438
248.0,1248.0,0.06269293118054103,0.20851391061878768,-1468.4168632652736
249.0,1249.0,0.03570813635940253,0.22080102357748815,-1439.5597518951156
250.0,1250.0,-0.08288976899579995,0.22074276673343848,-1439.6927362238673
251.0,1251.0,0.25546942318253707,0.21582961365922082,-1451.0371721405768
252.0,1252.0,0.11148961757858392,0.21977843015933815,-1441.8993333780302
253.0,1253.0,-0.10095290384336844,0.21292306696451133,-1457.87059806431
254.0,1254.0,0.033344366758504655,0.2155038542102349,-1451.7984544008486
255.0,1255.0,0.052427176123488,0.21612266634890517,-1450.3533068846325
256.0,1256.0,0.07823490543902611,0.2197330023745043,-1442.003530169676
257.0,1257.0,0.16381701103543636,0.2177082700620444,-1446.6691762130777
258.0,1258.0,0.05318205271836162,0.224564042935529,-1431.042663182171
259.0,1259.0,-0.11677758873111208,0.2219736638062681,-1436.8901547659252
260.0,1260.0,0.06499337960064412,0.2042274141872222,-1478.8857671879732
261.0,1261.0,0.0522795963257161,0.2197686189350588,-1441.9218331629693
262.0,1262.0,0.26701043933101937,0.22090968896548294,-1439.3117633214385
263.0,1263.0,-0.0868065163209018,0.21514796591741,-1452.6314682623847
264.0,1264.0,-0.05315037325189326,0.22123970097470083,-1438.559410893431
265.0,1265.0,0.2593488021909871,0.22047117334346256,-1440.3132303606624
266.0,1266.0,0.2552175028334031,0.22839555738474393,-1422.515945388075
267.0,1267.0,-0.0628561966326287,0.2380459911885514,-1401.657974740315
268.0,1268.0,0.21778983674504498,0.23222995178516692,-1414.124836432595
269.0,1269.0,0.05387608584779547,0.22146222913972802,-1438.0527358005224
270.0,1270.0,0.24742853533271145,0.22068364075726712,-1439.8277609453266
271.0,1271.0,0.1623263829682865,0.22156961053381025,-1437.8084230957174
272.0,1272.0,0.012298730329774642,0.2224445950251492,-1435.8220226210556
273.0,1273.0,0.0011358305834179632,0.21942039924493015,-1442.7210562247406
274.0,1274.0,0.09304568877948743,0.21123644412293427,-1461.8788152252494
275.0,1275.0,0.1482964205901688,0.22244190103058734,-1435.828126529676
276.0,1276.0,-0.10805023374498329,0.21039856283527605,-1463.8819248908896
277.0,1277.0,0.2558452754477167,0.2047746348104286,-1477.5371186324492
278.0,1278.0,-0.17631571256688924,0.2076741355035271,-1470.4507863269394
279.0,1279.0,0.15051487650693368,0.22675336701190368,-1426.152843899827
280.0,1280.0,0.2535149618659785,0.22660695495036037,-1426.4783862353022
281.0,1281.0,-0.014887700335537874,0.21601541913355812,-1450.6034806086166
282.0,1282.0,0.12962373805204405,0.21844308093319884,-1444.9709299738672
283.0,1283.0,0.2678392946049168,0.22120197780540568,-1438.6453543218317
284.0,1284.0,-0.16806267436716227,0.21554049458115382,-1451.7127786783885
285.0,1285.0,0.5082738675000116,0.22197530952007474,-1436.8864213126878
286.0,1286.0,-0.0020764185904087367,0.22567754774905754,-1428.549735503479
287.0,1287.0,0.48412182725683306,0.21573195617756266,-1451.2652764440145
288.0,1288.0,0.08380377271073883,0.21248323211078857,-1458.912773517704
289.0,1289.0,0.1527562939499364,0.21396122472770815,-1455.419182501826
290.0,1290.0,0.023212948930161473,0.21802436594153143,-1445.937920638816
291.0,1291.0,-0.05382553594069839,0.2228923881007218,-1434.8084732051816
292.0,1292.0,0.2482700485934372,0.22403712287800437,-1432.2266450857444
293.0,1293.0,0.23064567415382947,0.21885881200592683,-1444.0126433473938
294.0,1294.0,-0.02947733177512005,0.2301903783564019,-1418.5707987183755
295.0,1295.0,-0.10724122847956893,0.22281757789815215,-1434.9776641882345
296.0,1296.0,0.05027570070619975,0.22209315636284724,-1436.618928551647
297.0,1297.0,0.22528544417866753,0.21365235899513596,-1456.1472722473407
298.0,1298.0,-0.04428764371886052,0.2072634568264573,-1471.4484433020139
299.0,1299.0,0.43126400986718827,0.22005469868853492,-1441.2661870873378
